,index,h_bond_donors,h_bond_acceptors,molar_refractivity,molecular_weight,n_atoms,n_carbons,n_heteroatoms,n_rings,n_rot_bonds,logp,tpsa,n_heavy_atoms,n_aromatic_atom,single_bond,double_bond,triple_bond,aromatic_bond,level_0,Inhibition Observed,Panel Name
25,25,1.0,2.0,72.16420000000002,295.082013284,21.0,15.0,6.0,2.0,4.0,3.987820000000002,38.33,21.0,12.0,18.0,2.0,0.0,24.0,25,1,0
26,26,0.0,6.0,65.77490000000002,268.117154992,19.0,11.0,8.0,2.0,2.0,0.5777000000000001,90.5,19.0,5.0,26.0,4.0,0.0,10.0,26,1,2
27,27,0.0,6.0,65.77490000000002,268.117154992,19.0,11.0,8.0,2.0,2.0,0.5777000000000001,90.5,19.0,5.0,26.0,4.0,0.0,10.0,27,1,4
28,28,2.0,2.0,81.29850000000005,327.04289869999997,21.0,15.0,6.0,2.0,4.0,3.276600000000001,66.4,21.0,6.0,26.0,6.0,0.0,12.0,28,1,3
29,29,2.0,7.0,78.89740000000002,306.089894688,21.0,12.0,9.0,2.0,5.0,0.8992999999999997,101.80000000000001,21.0,11.0,18.0,4.0,0.0,22.0,29,1,1
30,30,2.0,4.0,93.4514,347.049525368,23.0,16.0,7.0,3.0,5.0,3.955700000000002,67.00999999999999,23.0,15.0,16.0,2.0,0.0,32.0,30,1,0
31,31,1.0,4.0,83.56520000000003,299.115758024,22.0,17.0,5.0,2.0,7.0,2.915300000000001,64.63,22.0,12.0,18.0,4.0,0.0,24.0,31,1,2
32,32,1.0,2.0,67.31420000000003,229.11027872,17.0,14.0,3.0,2.0,2.0,3.457160000000002,42.24,17.0,11.0,12.0,2.0,0.0,22.0,32,1,4
33,33,1.0,4.0,67.14970000000004,251.115758024,18.0,13.0,5.0,2.0,4.0,1.8212999999999997,56.790000000000006,18.0,6.0,24.0,2.0,0.0,12.0,33,1,3
34,34,0.0,5.0,66.45550000000004,255.092914404,17.0,12.0,5.0,2.0,4.0,1.6255999999999997,38.77,17.0,5.0,24.0,2.0,0.0,10.0,34,1,1
35,35,0.0,5.0,66.22500000000004,257.068807832,19.0,14.0,5.0,3.0,2.0,1.827,57.650000000000006,19.0,12.0,16.0,2.0,0.0,24.0,35,1,0
36,36,2.0,2.0,76.75840000000005,262.168127944,19.0,15.0,4.0,2.0,3.0,3.4578200000000017,50.36,19.0,6.0,26.0,2.0,0.0,12.0,36,1,2
37,37,2.0,6.0,80.35360000000004,327.077658264,22.0,14.0,8.0,2.0,4.0,1.4564999999999997,96.3,22.0,6.0,30.0,4.0,0.0,12.0,37,1,4
38,38,2.0,4.0,80.27740000000006,310.189257312,22.0,16.0,6.0,3.0,4.0,0.8880000000000008,76.66000000000001,22.0,0.0,44.0,4.0,0.0,0.0,38,1,3
39,39,0.0,5.0,85.89090000000004,330.121571676,24.0,17.0,7.0,3.0,5.0,3.3929000000000027,85.82000000000001,24.0,11.0,26.0,4.0,0.0,22.0,39,1,1
40,40,1.0,3.0,98.52220000000003,333.136493468,25.0,21.0,4.0,3.0,6.0,5.129900000000004,47.56,25.0,18.0,16.0,2.0,0.0,36.0,40,1,0
41,41,1.0,1.0,75.73770000000005,245.177964356,18.0,16.0,2.0,2.0,4.0,4.212340000000003,29.1,18.0,6.0,24.0,2.0,0.0,12.0,41,1,2
42,42,1.0,2.0,81.51870000000002,291.04846274799996,19.0,15.0,4.0,2.0,5.0,3.773600000000002,29.1,19.0,11.0,14.0,4.0,0.0,22.0,42,1,4
43,43,0.0,2.0,84.19000000000004,312.079618556,20.0,15.0,5.0,2.0,3.0,3.170700000000002,23.55,20.0,6.0,26.0,4.0,0.0,12.0,43,1,3
44,44,0.0,2.0,67.90450000000004,237.118735228,16.0,13.0,3.0,2.0,1.0,3.1746200000000018,20.310000000000002,16.0,5.0,22.0,2.0,0.0,10.0,44,1,1
45,45,2.0,3.0,65.43630000000002,219.137162164,16.0,12.0,4.0,2.0,2.0,1.3579999999999999,72.35,16.0,6.0,20.0,2.0,0.0,12.0,45,1,0
46,46,2.0,4.0,77.06200000000004,293.126322708,21.0,15.0,6.0,1.0,7.0,2.3026999999999997,92.7,21.0,6.0,24.0,6.0,0.0,12.0,46,1,2
47,47,2.0,6.0,90.80410000000003,340.1535405,25.0,18.0,7.0,3.0,5.0,2.5614799999999995,106.18,25.0,11.0,28.0,2.0,2.0,22.0,47,1,4
48,48,1.0,3.0,75.59270000000002,278.08891232,19.0,14.0,5.0,2.0,4.0,3.9338000000000024,41.99,19.0,11.0,16.0,2.0,0.0,22.0,48,1,3
49,49,2.0,7.0,88.14410000000004,342.13280505599994,25.0,17.0,8.0,3.0,5.0,1.7914799999999997,115.41,25.0,11.0,28.0,2.0,2.0,22.0,49,1,1
50,50,2.0,5.0,70.68210000000002,270.111675688,20.0,14.0,6.0,3.0,2.0,2.3442800000000004,100.86,20.0,10.0,20.0,2.0,2.0,20.0,50,1,0
51,51,0.0,3.0,54.854000000000006,295.923065888,15.0,8.0,7.0,2.0,0.0,3.7810200000000007,25.78,15.0,9.0,12.0,0.0,0.0,20.0,51,1,2
52,52,2.0,7.0,83.19220000000001,326.09027154800003,24.0,17.0,7.0,3.0,3.0,1.3588799999999999,118.71000000000001,24.0,12.0,22.0,4.0,2.0,24.0,52,1,4
53,53,1.0,5.0,87.16540000000003,309.195345736,23.0,18.0,5.0,2.0,3.0,2.45284,100.63,23.0,0.0,38.0,4.0,6.0,0.0,53,1,3
54,54,2.0,3.0,90.14450000000006,325.131408088,24.0,19.0,5.0,3.0,5.0,2.9606000000000012,75.63,24.0,12.0,24.0,4.0,0.0,24.0,54,1,1
55,55,1.0,6.0,74.69740000000002,310.01789089199997,20.0,13.0,7.0,2.0,2.0,2.656180000000001,85.34,20.0,5.0,24.0,6.0,2.0,10.0,55,1,0
56,56,1.0,4.0,88.81770000000003,308.109567512,22.0,17.0,5.0,3.0,3.0,4.047140000000002,65.36,22.0,15.0,14.0,0.0,2.0,32.0,56,1,2
57,57,1.0,3.0,74.43870000000004,278.0822054,19.0,14.0,5.0,3.0,2.0,4.0645000000000024,50.69,19.0,6.0,26.0,4.0,0.0,12.0,57,1,4
58,58,2.0,7.0,73.48890000000002,286.07020479999994,21.0,13.0,8.0,3.0,3.0,1.4412999999999998,110.11000000000001,21.0,15.0,10.0,4.0,0.0,32.0,58,1,3
59,59,0.0,2.0,81.44400000000007,267.256214676,19.0,17.0,2.0,2.0,6.0,4.093800000000003,12.47,19.0,0.0,40.0,0.0,0.0,0.0,59,1,1
60,60,1.0,3.0,61.45640000000001,195.079647288,15.0,12.0,3.0,3.0,0.0,2.365199999999999,51.8,15.0,14.0,2.0,0.0,0.0,32.0,60,1,0
61,61,2.0,4.0,93.78440000000002,335.0728476560001,24.0,18.0,6.0,3.0,4.0,2.4824799999999994,74.15,24.0,12.0,20.0,6.0,2.0,24.0,61,1,2
62,62,3.0,6.0,92.77120000000004,347.093977024,24.0,16.0,8.0,2.0,7.0,1.9434,104.30999999999999,24.0,12.0,20.0,6.0,0.0,24.0,62,1,4
63,63,2.0,1.0,89.69340000000003,310.0939977,22.0,18.0,4.0,4.0,1.0,3.7020000000000017,24.06,22.0,12.0,22.0,4.0,0.0,24.0,63,1,3
64,64,1.0,3.0,67.77470000000004,228.126263132,17.0,14.0,3.0,2.0,5.0,2.38,34.15,17.0,12.0,12.0,0.0,0.0,24.0,64,1,1
65,65,2.0,7.0,89.14190000000002,348.089225992,24.0,15.0,9.0,2.0,6.0,1.38082,114.03999999999999,24.0,12.0,20.0,6.0,0.0,24.0,65,1,0
66,66,1.0,5.0,65.6057,295.068094536,21.0,12.0,9.0,3.0,2.0,1.5332999999999997,76.46000000000001,21.0,15.0,14.0,2.0,0.0,30.0,66,1,2
67,67,2.0,8.0,95.92950000000005,343.164439532,25.0,17.0,8.0,3.0,5.0,0.27469999999999956,94.08,25.0,15.0,18.0,4.0,0.0,32.0,67,1,4
68,68,0.0,4.0,95.21500000000002,340.088163372,24.0,18.0,6.0,3.0,4.0,3.2333000000000016,53.760000000000005,24.0,11.0,22.0,8.0,0.0,22.0,68,1,3
69,69,0.0,4.0,76.22800000000005,255.137162164,19.0,15.0,4.0,4.0,1.0,1.898,29.76,19.0,9.0,22.0,2.0,0.0,20.0,69,1,1
70,70,2.0,2.0,85.40940000000002,275.105862036,21.0,17.0,4.0,4.0,1.0,3.827700000000001,57.78,21.0,17.0,6.0,2.0,0.0,40.0,70,1,0
71,71,1.0,3.0,88.39850000000004,336.09439162399997,23.0,16.0,7.0,2.0,5.0,2.5388200000000003,66.48,23.0,12.0,18.0,6.0,0.0,24.0,71,1,2
72,72,1.0,3.0,93.12150000000005,338.16641369199994,23.0,17.0,6.0,2.0,5.0,2.5183400000000002,66.48,23.0,6.0,30.0,6.0,0.0,12.0,72,1,4
73,73,0.0,4.0,90.20980000000006,340.14567824799997,23.0,16.0,7.0,2.0,5.0,1.8621999999999999,66.92,23.0,6.0,30.0,6.0,0.0,12.0,73,1,3
74,74,1.0,4.0,92.18850000000003,341.07217896000003,24.0,18.0,6.0,4.0,3.0,3.4118000000000013,64.63,24.0,16.0,16.0,4.0,0.0,34.0,74,1,1
75,75,1.0,2.0,84.90270000000004,285.11873522800005,20.0,17.0,3.0,2.0,5.0,3.964520000000003,29.1,20.0,12.0,16.0,2.0,0.0,24.0,75,1,0
76,76,1.0,5.0,83.26460000000003,335.057591516,23.0,14.0,9.0,2.0,6.0,1.2753999999999999,123.61000000000001,23.0,12.0,16.0,8.0,0.0,24.0,76,1,2
77,77,1.0,2.0,86.72170000000003,305.06411281199996,20.0,16.0,4.0,2.0,4.0,4.687640000000003,29.1,20.0,12.0,16.0,2.0,0.0,24.0,77,1,4
78,78,1.0,3.0,86.87850000000006,336.094391624,23.0,16.0,7.0,2.0,6.0,1.9081000000000001,66.48,23.0,12.0,18.0,6.0,0.0,24.0,78,1,3
79,79,1.0,3.0,93.08150000000005,332.11946349999994,23.0,17.0,6.0,2.0,6.0,2.6537000000000006,66.48,23.0,12.0,18.0,6.0,0.0,24.0,79,1,1
80,80,1.0,4.0,91.17170000000004,317.156183356,22.0,17.0,5.0,2.0,5.0,4.259000000000003,54.88,22.0,11.0,22.0,2.0,0.0,22.0,80,1,0
81,81,1.0,5.0,88.22970000000005,319.135447912,22.0,16.0,6.0,2.0,5.0,3.532700000000003,64.11,22.0,11.0,22.0,2.0,0.0,22.0,81,1,2
82,82,0.0,4.0,73.97650000000003,267.08954327600003,20.0,16.0,4.0,2.0,5.0,2.8285800000000014,59.32,20.0,12.0,14.0,2.0,2.0,24.0,82,1,4
83,83,1.0,7.0,71.54570000000004,249.17019360799998,18.0,11.0,7.0,1.0,5.0,1.0652799999999998,80.97,18.0,6.0,22.0,0.0,2.0,12.0,83,1,3
84,84,1.0,3.0,80.28270000000003,335.015705408,20.0,15.0,5.0,2.0,5.0,3.380300000000002,51.47,20.0,11.0,16.0,4.0,0.0,22.0,84,1,1
85,85,1.0,4.0,80.16380000000004,319.121986276,23.0,17.0,6.0,3.0,4.0,2.2891,66.84,23.0,6.0,32.0,6.0,0.0,12.0,85,1,0
86,86,1.0,5.0,91.98920000000003,346.07203463999997,24.0,17.0,7.0,2.0,5.0,4.155900000000003,76.99,24.0,12.0,20.0,6.0,0.0,24.0,86,1,2
87,87,1.0,4.0,77.60220000000002,276.039105004,18.0,13.0,5.0,2.0,4.0,3.233900000000002,41.46,18.0,11.0,12.0,4.0,0.0,22.0,87,1,4
88,88,1.0,4.0,67.47920000000002,243.100776656,18.0,13.0,5.0,2.0,3.0,2.05534,67.49000000000001,18.0,11.0,12.0,4.0,0.0,22.0,88,1,3
89,89,1.0,6.0,89.34020000000005,332.13722174,24.0,17.0,7.0,2.0,6.0,2.686140000000001,82.29,24.0,11.0,24.0,4.0,0.0,22.0,89,1,1
90,90,0.0,4.0,86.66400000000002,306.067224032,22.0,17.0,5.0,4.0,2.0,4.111700000000002,43.08,22.0,21.0,6.0,0.0,0.0,44.0,90,1,0
91,91,1.0,4.0,69.53520000000003,262.131742436,19.0,14.0,5.0,2.0,4.0,1.6873,68.28999999999999,19.0,6.0,24.0,4.0,0.0,12.0,91,1,2
92,92,1.0,3.0,71.8862,311.016077236,21.0,14.0,7.0,3.0,2.0,3.5992000000000015,47.56,21.0,12.0,20.0,2.0,0.0,24.0,92,1,4
93,93,1.0,4.0,89.64720000000004,312.14739249999997,23.0,18.0,5.0,3.0,4.0,3.0123200000000008,50.80000000000001,23.0,12.0,24.0,2.0,0.0,24.0,93,1,3
94,94,1.0,2.0,69.18530000000003,262.039671892,18.0,14.0,4.0,2.0,4.0,3.617200000000002,46.53,18.0,12.0,12.0,2.0,0.0,24.0,94,1,1
95,95,0.0,2.0,86.26600000000005,293.152812228,22.0,18.0,4.0,4.0,2.0,3.5565200000000026,26.79,22.0,12.0,24.0,2.0,0.0,24.0,95,1,0
96,96,1.0,5.0,85.50710000000004,313.10625596,23.0,16.0,7.0,2.0,6.0,2.43232,93.83,23.0,12.0,18.0,6.0,0.0,24.0,96,1,2
97,97,1.0,4.0,92.91020000000005,328.178692628,24.0,19.0,5.0,3.0,4.0,3.2669000000000015,60.33,24.0,9.0,28.0,4.0,0.0,20.0,97,1,4
98,98,1.0,2.0,85.78070000000005,289.20417910400005,21.0,18.0,3.0,2.0,4.0,3.8296600000000023,38.33,21.0,6.0,30.0,2.0,0.0,12.0,98,1,3
99,99,1.0,3.0,70.17700000000004,268.088163372,18.0,12.0,6.0,2.0,4.0,0.9745999999999999,66.48,18.0,6.0,20.0,6.0,0.0,12.0,99,1,1
100,100,1.0,2.0,67.66270000000003,235.103085164,16.0,13.0,3.0,2.0,4.0,2.754220000000001,29.1,16.0,6.0,20.0,2.0,0.0,12.0,100,1,0
101,101,1.0,3.0,86.38270000000004,319.097521116,22.0,17.0,5.0,2.0,6.0,3.4323000000000023,47.56,22.0,12.0,20.0,2.0,0.0,24.0,101,1,2
102,102,1.0,6.0,72.79140000000002,268.120322224,18.0,11.0,7.0,2.0,2.0,2.1182,80.29,18.0,6.0,24.0,2.0,0.0,12.0,102,1,4
103,103,0.0,4.0,100.20300000000003,337.179026976,25.0,20.0,5.0,3.0,6.0,4.145300000000003,49.050000000000004,25.0,11.0,26.0,6.0,0.0,22.0,103,1,3
104,104,0.0,3.0,80.02800000000005,261.078978592,20.0,17.0,3.0,4.0,0.0,3.8028200000000023,43.1,20.0,18.0,2.0,2.0,0.0,42.0,104,1,1
105,105,0.0,4.0,93.85800000000003,317.10519334,24.0,20.0,4.0,3.0,3.0,4.152100000000003,63.23,24.0,16.0,12.0,4.0,2.0,34.0,105,1,0
106,106,0.0,6.0,85.06900000000003,314.065988448,21.0,15.0,6.0,4.0,2.0,3.7380400000000025,51.56,21.0,15.0,16.0,0.0,0.0,32.0,106,1,2
107,107,0.0,6.0,82.336,313.018893936,21.0,14.0,7.0,4.0,2.0,3.568200000000001,55.97,21.0,20.0,6.0,0.0,0.0,42.0,107,1,4
108,108,2.0,2.0,69.60590000000003,244.121177752,18.0,14.0,4.0,3.0,3.0,2.0767,54.12,18.0,9.0,18.0,2.0,0.0,20.0,108,1,3
109,109,0.0,9.0,88.52,334.07491332,24.0,15.0,9.0,5.0,3.0,2.0407999999999995,86.68,24.0,23.0,6.0,0.0,0.0,50.0,109,1,1
110,110,0.0,6.0,77.28400000000002,297.048444476,21.0,14.0,7.0,4.0,2.0,3.0539000000000005,55.97,21.0,20.0,6.0,0.0,0.0,42.0,110,1,0
111,111,0.0,2.0,82.88200000000003,272.069342512,18.0,16.0,2.0,3.0,0.0,4.866800000000003,0.0,18.0,12.0,16.0,0.0,0.0,24.0,111,1,2
112,112,1.0,3.0,54.65340000000002,223.07570478,16.0,10.0,6.0,2.0,1.0,-0.1254000000000003,66.64,16.0,6.0,18.0,4.0,0.0,12.0,112,1,4
113,113,1.0,1.0,63.01520000000004,205.146664228,15.0,13.0,2.0,1.0,4.0,2.9134200000000012,29.1,15.0,6.0,16.0,2.0,0.0,12.0,113,1,3
114,114,1.0,1.0,68.29820000000004,259.05306946,16.0,12.0,4.0,1.0,4.0,3.911800000000003,29.1,16.0,6.0,18.0,2.0,0.0,12.0,114,1,1
115,115,1.0,1.0,60.90120000000004,203.131014164,15.0,13.0,2.0,2.0,2.0,2.667420000000001,29.1,15.0,6.0,18.0,2.0,0.0,12.0,115,1,0
116,116,1.0,1.0,91.97420000000005,345.07282636,21.0,18.0,3.0,2.0,2.0,5.307320000000004,29.1,21.0,12.0,18.0,2.0,0.0,24.0,116,1,2
117,117,0.0,4.0,68.97550000000003,276.01893644800003,19.0,14.0,5.0,3.0,2.0,3.2879000000000023,44.760000000000005,19.0,12.0,16.0,2.0,0.0,24.0,117,1,4
118,118,2.0,6.0,65.85940000000002,259.095691276,19.0,13.0,6.0,3.0,2.0,-0.4770000000000005,80.32,19.0,6.0,24.0,6.0,0.0,12.0,118,1,3
119,119,1.0,3.0,96.34730000000006,335.15214353199997,25.0,21.0,4.0,4.0,3.0,3.5618000000000016,49.769999999999996,25.0,12.0,28.0,4.0,0.0,24.0,119,1,1
120,120,1.0,4.0,89.27370000000003,311.143390416,23.0,18.0,5.0,3.0,4.0,3.022800000000001,46.92,23.0,16.0,14.0,2.0,0.0,34.0,120,1,0
121,121,1.0,5.0,89.53250000000006,342.16132831199997,23.0,16.0,7.0,2.0,7.0,1.3126399999999998,67.87,23.0,6.0,32.0,4.0,0.0,12.0,121,1,2
122,122,0.0,3.0,72.84780000000005,291.06959211599997,18.0,12.0,6.0,1.0,5.0,2.687520000000001,46.61,18.0,6.0,20.0,4.0,0.0,12.0,122,1,4
123,123,1.0,5.0,82.40680000000002,296.068473484,22.0,17.0,5.0,3.0,2.0,2.534400000000001,76.74,22.0,17.0,8.0,4.0,0.0,36.0,123,1,3
124,124,1.0,3.0,52.08130000000001,241.957856184,13.0,9.0,4.0,1.0,1.0,1.7174999999999998,54.370000000000005,13.0,7.0,8.0,4.0,0.0,14.0,124,1,1
125,125,0.0,4.0,92.30100000000003,345.973439236,22.0,16.0,6.0,4.0,1.0,4.883000000000002,34.370000000000005,22.0,19.0,6.0,2.0,0.0,42.0,125,1,0
126,126,0.0,6.0,64.80800000000002,246.05753194,17.0,11.0,6.0,3.0,3.0,1.9992,52.31,17.0,14.0,8.0,0.0,0.0,30.0,126,1,2
127,127,0.0,5.0,63.56900000000002,230.06261732,16.0,11.0,5.0,3.0,1.0,2.46964,43.08,16.0,14.0,6.0,0.0,0.0,30.0,127,1,4
128,128,0.0,6.0,85.25900000000004,314.120132196,22.0,16.0,6.0,4.0,4.0,3.8125000000000027,52.31,22.0,14.0,20.0,0.0,0.0,30.0,128,1,3
129,129,1.0,4.0,72.80820000000003,282.022976272,18.0,12.0,6.0,2.0,3.0,3.365820000000003,51.22,18.0,11.0,14.0,2.0,0.0,22.0,129,1,1
130,130,1.0,3.0,84.95620000000004,308.075011844,20.0,15.0,5.0,2.0,2.0,4.654720000000003,41.99,20.0,11.0,18.0,2.0,0.0,22.0,130,1,0
131,131,0.0,3.0,92.48650000000002,325.098189812,23.0,18.0,5.0,3.0,3.0,4.110720000000003,38.13,23.0,17.0,14.0,2.0,0.0,34.0,131,1,2
132,132,0.0,4.0,78.87250000000003,286.13174243599997,21.0,16.0,5.0,3.0,3.0,2.8386000000000013,55.57,21.0,11.0,22.0,2.0,0.0,22.0,132,1,4
133,133,0.0,4.0,68.83150000000002,267.02331062,17.0,11.0,6.0,2.0,2.0,2.7765200000000014,46.09,17.0,11.0,12.0,2.0,0.0,22.0,133,1,3
134,134,1.0,4.0,77.20570000000002,280.016261384,17.0,12.0,5.0,2.0,4.0,4.153390000000002,28.68,17.0,12.0,10.0,2.0,0.0,24.0,134,1,1
135,135,0.0,4.0,74.81800000000004,277.113649848,19.0,15.0,4.0,2.0,4.0,3.6528800000000023,50.09,19.0,5.0,26.0,2.0,2.0,10.0,135,1,0
136,136,1.0,1.0,63.05170000000003,215.131014164,16.0,14.0,2.0,3.0,0.0,2.5183,29.1,16.0,6.0,22.0,2.0,0.0,12.0,136,1,2
137,137,1.0,3.0,66.34180000000003,252.082015372,17.0,13.0,4.0,2.0,4.0,2.993800000000001,54.370000000000005,17.0,5.0,22.0,4.0,0.0,10.0,137,1,4
138,138,2.0,2.0,86.33390000000003,284.098334132,20.0,16.0,4.0,2.0,3.0,3.142220000000002,41.129999999999995,20.0,12.0,14.0,4.0,0.0,24.0,138,1,3
139,139,0.0,4.0,86.51900000000005,297.136493468,22.0,18.0,4.0,3.0,4.0,3.7384200000000023,44.370000000000005,22.0,15.0,14.0,2.0,0.0,32.0,139,1,1
140,140,0.0,5.0,77.37950000000002,300.030169828,21.0,15.0,6.0,3.0,2.0,2.845200000000001,65.1,21.0,17.0,8.0,4.0,0.0,34.0,140,1,0
141,141,1.0,2.0,83.76170000000006,279.16568542,19.0,16.0,3.0,1.0,3.0,3.9909000000000026,29.1,19.0,6.0,24.0,2.0,0.0,12.0,141,1,2
142,142,0.0,4.0,94.53280000000005,332.155849008,23.0,18.0,5.0,3.0,4.0,2.2494000000000005,40.620000000000005,23.0,10.0,24.0,4.0,0.0,22.0,142,1,4
143,143,1.0,3.0,91.67020000000005,310.168127944,23.0,19.0,4.0,3.0,4.0,3.0795200000000014,41.57000000000001,23.0,12.0,24.0,2.0,0.0,24.0,143,1,3
144,144,1.0,3.0,91.94320000000003,330.113505528,23.0,18.0,5.0,3.0,4.0,3.424500000000002,41.57,23.0,12.0,24.0,2.0,0.0,24.0,144,1,1
145,145,1.0,2.0,90.18870000000004,308.15247788,23.0,19.0,4.0,3.0,4.0,2.9496200000000012,49.410000000000004,23.0,12.0,22.0,4.0,0.0,24.0,145,1,0
146,146,1.0,2.0,102.95770000000002,344.15247788,26.0,22.0,4.0,4.0,4.0,3.794400000000002,49.410000000000004,26.0,16.0,20.0,4.0,0.0,34.0,146,1,2
147,147,0.0,5.0,92.45300000000003,321.096954228,21.0,15.0,6.0,3.0,3.0,2.1712,35.910000000000004,21.0,6.0,30.0,4.0,0.0,12.0,147,1,4
148,148,2.0,5.0,86.95340000000002,313.09973110000004,22.0,15.0,7.0,3.0,4.0,2.70054,83.56,22.0,15.0,14.0,2.0,0.0,32.0,148,1,3
149,149,2.0,5.0,84.93440000000004,282.093917448,20.0,15.0,5.0,4.0,2.0,3.6622200000000014,41.88,20.0,15.0,14.0,0.0,0.0,32.0,149,1,1
150,150,2.0,3.0,78.29550000000005,271.120843404,20.0,16.0,4.0,2.0,6.0,3.7540000000000022,58.56,20.0,12.0,16.0,2.0,0.0,24.0,150,1,0
151,151,1.0,2.0,60.483700000000034,214.110613068,16.0,13.0,3.0,2.0,2.0,1.79158,52.89,16.0,6.0,18.0,2.0,2.0,12.0,151,1,2
152,152,1.0,2.0,61.54470000000003,230.03775374399999,14.0,10.0,4.0,2.0,1.0,2.4030000000000005,15.27,14.0,6.0,18.0,0.0,0.0,12.0,152,1,4
