index,MORGAN_BTSTR,PUBCHEM_ACTIVITY_OUTCOME,Inhibition Observed
732,1110111000100001110000111000101111011001010100010000010110110101,2,1
737,1110111000110001110000111000101010011001010100010000000110110101,0,1
742,1000011010100010110001110110011011011001000010010100110111100100,0,1
747,1011000011100101111001101010100011101011010010010001100000110100,2,1
752,1001000110001101110100100011100011011111000101110000011000110001,0,1
757,1110110001110010110000100001000011101101000000010010010100000101,0,0
762,1001111000100010110000110010001010111001101000110000100001101000,1,1
767,1001000010000111010100110010101000001001000010110101010000000000,0,1
772,1000000011101001110100111100011101001101000100011110011110000100,0,1
777,1101010000100000110101101110100000011001110001010010110110100101,0,1
782,1111000010100100111001000001011111011001001011010101101011111001,2,1
787,1001010001101001111010110010000001101001100100010110110110100001,0,1
792,1000100010110100010001110100011111111011100100010100001000110001,0,1
797,1100100000110101111010111010000011001011000101010101010011000111,0,1
802,1010010111111100110010100010011011101010100111101010000101100001,1,1
807,1100111100100101110100100001010001101110110111011010000000100101,0,0
812,1000000000000101110010110000101101101111010000010100000011111101,0,1
817,1000110100000001111010101100100001001011001000011000000000101001,1,1
822,0001000000110000010001000100001001101111001101100000100001111001,0,1
827,1011010011101100110101100010000001111011100100100000010110101111,1,1
832,1111110000100110111101100010000001111011000001100000010110101111,0,1
837,1111000001101000010010100010000001111000000110110010110101111011,0,1
842,0000100000100100110000100000001001001000010100010110001100101000,2,1
847,0111110001100110111000100001110011001011000111101000100100101100,0,1
852,1000010010100101110100101010100010001101000100111100001010000111,2,1
857,1000111011100101111000101000000111001111110110010000010010110101,0,1
862,1110000001110010110101101000000011001011010000010110001100101101,2,1
867,1100010000111011110110100011000011001101001001010001011100110000,2,1
872,1000001100001011111100100110111111111011100000101101111011011000,2,1
877,1101000011000110110010101110001101001011000101000011010101110001,2,1
882,0100110100000101101100000001001001101001010010000000100000010010,2,1
887,1101000010110100110000000101001111001001001010010001100011100011,0,1
892,1110110111110001110000100100111101101111110101010101001001100110,0,1
897,1101110001100000110100100011001001101001011011110000010101110100,0,1
902,0000010001101100110010000001000111001001000110010000000100100100,2,1
907,1100011000111000010111101001000001001001100100000100010010000101,0,1
912,1100010110100000010001110001000001001011000001010100000100001100,1,1
917,1000110010001000110100111000000010001000100000111100000001100000,2,1
922,1111010101100000010001101000001001011001100100000010100111000100,0,1
927,1110001010001000010001101110100111001001010000010010001101111100,0,1
932,1000100010001001110111111010100111001000100110111100111010110000,0,1
937,1010100011101111010101101100111001111010101001001101010100110001,1,1
942,1111010101110111110010101001000101001111000100010000011100110101,0,0
947,1000010000100000110001111000011111111111111101001010001100011101,0,1
952,1011000100111110110101111000111011111111111001011000001000011001,0,1
957,1000000001101100011101000000011101111001000100010110010000101111,2,1
962,1000010011110000110001101000000111101001110101010000110000100101,0,1
967,1010101011111110110001100110001011001001100101010100100110100101,0,1
972,1100010110001011110110101011001011011111001100010101000101101000,2,1
977,1100010010001111010110100011011001101001000001110100000101100000,0,1
982,1010110010100011111000110110001001111101001001010100000000010111,1,1
987,1110110111111110110001101000001001101001010101010000111100110101,1,1
992,1000110001101000110100100000001101111011111011010100011010111101,1,1
997,1001001010100101110101111110101011001011011001110110110000000100,0,1
1002,0000111111101110111001100110011111001011001101010100100010100101,2,1
1007,1100110010101001110100101011001001011101001100010001010101100011,0,1
1012,1100011010101001110011101011101100001101001011010000011101100011,0,0
1017,1010001011001010010000101100001111001001010110010010100101100000,2,1
1022,1101010010110000010000001001010101011011110100001010010010110111,2,1
1027,1011001010000100110010111110000011001011010000110111001000111011,0,1
1032,1011101110100011010000110110001011101001000011010000010100111100,0,1
1037,1110010000101011110000101010110111111001011110010010010100110100,0,1
1042,1010100010101010110101111110001011001001111001010100000100110100,0,1
1047,1110010000101011110000001001000101011001100101000001000011100101,1,1
1052,1010010111101000101101100000010011111011000000100011100001101111,0,1
1057,1111000000101010110100101000001111111011011110100000000100110100,0,1
1062,1010110110110010110001101000001010001001010001000100010000010101,1,1
1067,1000010111100100110100111010101001111111110110111110000101000101,0,1
1072,1000100111101001110100100000001001101100010101010100001010110000,1,1
1077,1001110000101000110000100110001001101001010011010000001100110100,1,1
1082,1000010111100100110000111010101011101111110110010100000101100101,2,1
1087,1100000100101000111001100000000101001011000100001111100110101100,0,1
1092,0011110100100010110110100110011001011011010111100110010100110111,0,1
1097,1010111101100010111101100110000111011001100100100110110101110111,0,1
1102,1110000011101111110110101010001011001101001010010010001100100011,0,1
1107,0100000010001101100000000000011001101111001001010111100100111011,1,1
1112,1001101100101001111011001010001101101011010100010010100101100101,1,1
1117,0000101110100011111011000110001001001011000000000110100011100101,0,0
1122,1100010000101011110101101001000110011011001000000100110011100101,2,1
1127,1011100011110010010000101110001001101111010000100101011100000101,2,1
1132,1111000011000110110001110101001001101011010001110000010100000101,0,1
1137,1100010010110000110101101001000011111001010101110100110011100101,0,1
1142,1000111010100010100000000001101101100001010001110000011111011001,2,1
1147,1001010110111110110010110110001010101101111100110101001111110101,0,1
1152,1101110010101110110110110100000110011001110000100110010100110101,2,1
1157,1100000010101011110000110101011111111011011000000100010100110111,0,1
1162,1000011110100001110111110010001010001001001110110110100001100101,1,1
1167,1000010000101000111101100111000000111001011100010000110001101100,1,1
1172,1100000001100011110111100110111011001001000010110100100101010100,0,1
1177,1001000011101000110001000000000111011001011100010000101101100101,0,1
1182,1001000011101010110000111110000011001001011100011010100100110100,2,1
1187,1110101111111110110001100110011011011011010101000110110100111111,1,1
1192,1110011000110010111011101010101001101011010011010100110100100101,2,1
1197,1100001010100000111011101010101011101001010010011100100000110101,2,1
1202,1100001001100001111011100110111001001001000010010100100100110101,2,1
1207,1001000100100000101001100011000011001111011100001101110011110101,2,1
1212,1000101010101001110000110000100011001010100100000000100110110000,1,1
1217,1000101010101001110101110010111011001111100101000101110010110100,0,1
1222,1000101010111001110101110110111011011011100101000100110010111110,0,1
1227,1000101010111010110101110110111101011011101001000100110010111111,0,1
1232,1111101011101000110100110011100001011001100010000000101110110100,1,1
1237,1001110010101010110000111110001110101001010001111010011110111100,1,1
1242,0100110011100100100101000000011001001001001101010101010010111001,1,1
1247,1110110000110001110101111010101011101011010110010000110110100101,0,1
1252,1001110101110100110000101110000111101111010100010000010010100111,0,1
1257,1000000010101010111010110001100101101101110110001010000101100100,0,1
1262,1100000010110000111101111011101101101001010110010000110100100100,0,0
1267,1110111000110000110101111010111000101001010011010000110100110101,0,0
1272,1110000001110110111101110010111001001001010010000000100100100111,0,1
1277,0100101100110000110101110011101001001001100010000100110100110100,0,0
1282,1110110000110000110101111010101001101011010010010000110100100101,0,0
1287,1111100010101010110011110101011011001001110101000100100100111100,0,1
1292,1010100011101111111010110100011011001001010100000110100110100100,2,1
1297,1011011011100110110100111000000001011011000000000100000100100101,2,1
1302,1000100001100000010110100100101101111001011100010100100000101100,1,1
1307,1000100010101010111101110001100101111001111000000110110010110111,2,1
1312,1000111001101100110101101011000011111101001100010000100111100101,1,1
1317,0100001101000000110100101011000101101010110100011100001000100001,0,1
1322,1010101010101110110101100110001001011001010100000101100011101100,0,1
1327,1000001010111000111001100110001101101011011100010100101010100101,0,1
1332,0000010111100001110101100010010001001011011010010111101100100111,0,1
1337,1100010101111010110001100101000011011001011100010000101101101101,2,1
1342,1100000000111010110001100101010011101001010100010000101001101101,0,1
1347,0010010011101000110001000001000011001001100101010000100001100101,2,1
1352,1010101010101010110110111110100010001001110000110100000100110100,0,1
1357,1000101010111010110001100110011101011011011101000100110001111111,1,1
1362,1111000010101010011000101000001010111001000101011100000000110100,2,1
1367,1101000010101010011000101000000010111011010100011100000010110101,0,1
1372,1101010011110000110100111010000001001111111001000010010000100101,1,1
1377,1101001111100000111001111011100111101011110101011010101010100101,0,0
1382,1110000011101111010011100011011001001001010001000100000101100101,2,1
1387,1010100111101000101101110000011011111001001001000011100101111111,2,1
1392,1101001001101001111100110010011101011001000100010010011111101101,1,1
1397,1110101110101000110101110001100001001001110000000110110010110100,1,1
1402,1000010111101010110010110010100101001001110110001000000101100100,2,1
1407,1010111010111010110010111110000011011001110000000100010100110101,1,1
1412,1000010010111110110010110110000011011101111000110100000100110111,0,0
1417,1101010010101110110110110110000111001101010100100010011100110111,0,1
1422,1111010011101110110110110110000011001101010000100010011100110111,1,1
1427,1011010001101110110101100110010001011010000111100110011100100011,1,1
1432,1101100010010100110000111001000111011011000000110101010100101001,1,1
1437,1000111001100111111101100010001001101111010101110000100110100101,1,1
1442,1010111011100000111001100010011001101111010101010000100110110111,1,1
1447,1010011010100100110001110010001011001101011000110000000000010111,0,0
1452,1010101010101000110001111010101111101001010100010000010000110101,0,1
1457,1011100011000110110000111000001111101011110001110101011110111001,1,1
1462,1001100010000111110000101000001111111011111001110100011010111011,1,1
1467,1001110010000100110000111000001110101011110001110101011010111001,0,1
1472,1101100010100100110100100100001111101011110101110111011110111001,2,1
1477,0010100011111010010000100101001011001001010000110000011100100001,0,1
1482,0000100000111000110001100100001001101001010100010100001101100000,0,1
1487,1001110001100011010000101100000001001011010110010010011101110111,0,1
1492,1011100011100011110010101100000011001011010111010011001101110110,1,1
1497,1001100001100011110100101100000001001111110110010110001111110111,1,1
1502,1000000010100010111101101001111011111101010110011100110101100100,1,1
1507,1100000110101000110001101000101111101001010100011010100100111100,1,1
1512,1101110010101001110100111001101011011101100100000100100010110100,0,1
1517,1010101011101111110101110110101011001001100100000110110110110100,0,1
1522,1000110111101100110101110000111001001001100100100010100111110100,1,1
1527,1010000011101000110001100100010001111001011100000010100001100100,1,1
1532,1010110010100011110010100000011110111001111001011111011011111101,2,1
1537,1000100010101000110101110100110101101001110100000000110010110100,0,0
1542,1001111010101001110111110010100111001000101110000010110010110001,1,1
1547,1000110000100110110011100001011101101001010111011000111011111101,2,1
1552,1000010011101111110100111000001011001101000111001100011000110100,1,1
1557,1100010111101011110000111000000011101001110100011100000100110100,1,1
1562,1101010111100010110000101110100101111011111000000100000001100111,2,1
1567,1110001000101110110110101010000111111011010110000100000101100100,1,1
1572,1110001100101111110110101010000111111011010111011110100111100100,0,1
1577,1100010110110000110010101001001111111111110100011111010101100111,1,1
1582,1100011110110000110110101010001110111011101101011110010001100111,0,1
1587,1101000000100010010000101110000101111001001000000100010001100111,1,1
1592,1000101000101100110101110011110001001001110100010100110111110110,1,1
1597,1000101010101110110111110110101010011001100010010110110111110100,1,1
1602,1010101011110110010010100000011111011001101101001110101111100111,2,1
1607,1110011001110010110000101100100101001011110111010000010101110111,0,1
1612,1000110010111010110000111100011111011001011000000100010100110111,1,1
1617,1011011010100000110000110110000000001111100011010010001000110111,1,1
1622,1011000011100000010100111000000001001111100110011011000000100111,0,0
1627,1001000010100001011010110000101010001101100110010110000001100101,1,1
1632,1001010110110000110000110110001000101111101111010111001001100111,1,1
1637,0110111111101010111101100111100011011011011010000000110100110100,1,1
1642,1110110101101010111101100001101011001011010010100100110100110100,0,1
1647,1111110111101111111001100001111011011001010110000010110100110100,0,1
1652,1110000001111111111010101110000101011001000100000000011110101101,2,1
1657,1110010001101001110010101010000001011001000000010010010111101101,0,0
1662,1101001000111001111010101011000101011001001110010000010111101101,2,1
1667,1100010110101001111010101110000011011011000000010000001010101100,1,1
1672,1110001011100101010100100010000011111001000000010110110111101110,0,0
1677,1110010010101001111010101110000011011011011011010010000111101100,1,1
1682,1110001010111001111010101110000101011001000100000000011010111101,0,1
1687,1010011011101110011000101010001101111101000100000000000101110001,0,1
1692,0110101000110000110001000000011011001011001111110101000110111101,0,1
1697,1000011011101111111101100010011111101011110101110000100000100101,1,1
1702,1000011101100011010000101100010001001011010100010010011101100101,1,1
1707,1010011111110011010000101110010001001011010100010010011101110101,2,1
1712,1101111001101000110000101011001111111001011101010000000100100100,0,0
1717,1100010001101000110000100101101101001011010101111000000101100100,2,1
1722,1000011010110010110100101000100011001011010100101100011010100101,0,1
1727,1010010011101110110010110100000011001001110010000001000100100101,0,1
1732,1010111010101011111001100110001001101011010110010110100110110110,0,1
1737,1010000001101001110010100011010001011001010110010010110101100010,0,1
1742,1110001110101001111001110010010001001001010100000000100101110110,1,1
1747,1000100001110011111000111010010101011001101110000110110011110101,0,1
1752,1111010000110011110100111110000001101011101011000011010100100101,0,1
1757,1111010010100001110010111110000011101011110011010011000111100101,0,1
1762,1111000001110111110000111110000011101001100010010001001101110101,0,1
1767,1110000101110111110000111110000111101001100110000001001101100101,2,1
1772,1100100100110011110000111100000111111101100110000100000001100101,1,1
1777,1010000000101001110011101110111111001001000010010100001100110100,2,1
1782,1000111011100100111101101111100111101101010101010101010011100101,2,1
1787,1000010000101100110001100010000101011001001110110110000100100011,2,1
1792,1010011100101011110101111110000001001010000110100110011100100011,2,1
1797,1010010011111110111101100000000001111011000100001100100110101111,1,1
1802,1010111000110000010100101101101011001001100110011100101000101011,0,0
1807,1110100011001110110000110001000001001110100010000000001101100011,0,1
1812,1101010010101001110100111110000101101001101100010011010000100101,1,1
1817,1011110100110000110010100110011101001001010101100110010100110011,2,1
1822,1010011000101001110001101100010001111011010111010110100110100101,2,1
1827,1010110000101011110001100010001101101000010111110110011011111001,2,1
1832,1010110000111000110001100010001101101000010111110110011110111011,1,1
1837,1010000000101011110101101110010001001001010110111110001100100000,0,1
1842,1000011010110011110110101110110001101001000110101100000000100001,0,1
1847,1011100000101001111001100100001100111001010111010000100101110100,0,1
1852,1000001000101010110011111000001011001111011110110000100000110000,0,1
1857,1010100010101001110011100100011101001001010110110110001100100101,1,1
1862,0010110101101011110101100010111001011001010110110100100111101110,1,1
1867,1010110001100100110001100000001001011111011101010010101111110101,2,1
1872,1111100101101001110101100100001001101001010111011010100101111100,0,0
1877,1000010010100111110001100011000111101101111100010000100000101111,0,1
1882,1010010011101110110110101000100001001001010101010011100101010100,0,1
1887,1011000011101000110111101100110111111001010110110010110101100101,0,1
1892,1100101001100001010100000001001001011001000110000100101100100111,2,1
1897,1111000000101011111101110110000001101001110100111100000001111101,1,1
1902,1000001011100011110101101010111011101001010110110101100000101101,2,1
1907,0100001000100000111010100010000001111001100100111000011101110011,2,1
1912,1010011011100111110100101010100001001011110110111001010000100101,1,1
1917,1010001001010110010000101010000001101000110100011000110100010101,1,1
1922,1000001000001011010001100010010001101000110100011000010000100101,0,1
1927,1110101011000011010010100001000011101000110100111110000101111001,1,1
1932,1101000010101001111101101010000011101011010100111110111000100101,1,1
1937,1100101000101000110101111100101110011001101000010000110111110100,1,1
1942,1110010101101001110101101100000001101001010100011010110101101101,2,1
1947,0001101010100001110001110010011111111111100101011101100000110101,1,1
1952,1100101010111010111010110100011011011011110101000100010100111110,0,0
1957,1100011010111110110010110110000010001101111100110100000100110111,0,1
1962,1010011011001100110100100010000011001001111000010101000001110000,1,1
1967,1101100100111101110000101010000011111011110100011101110111101110,1,1
1972,1101110010100010110110110011011111011111000100001010110101100110,1,1
1977,1111110010100100111011100001101111011010110010010101010100100011,2,1
1982,1101010101101001110110100001001101111001001011001110011101110100,1,1
1987,1110010010100110110110101001100111111011100000111100000110100101,0,1
1992,0000110001110101111011001110001001011011010001100101111000010000,1,1
1997,1011001001111010111110111010111101011111011110111110010101110100,1,1
2002,1010001010101010111110101010001101111011100000101100101001101101,0,1
2007,1110000011000110110100100010010001101100100100111100100101111100,2,1
2012,1111111011110100110001101001100111101111110101111000001110000111,0,1
2017,1000111100111000010000100000101101101011010100110101001101100101,0,1
2022,1111110101111111110001111001011011111001011110011100110100101101,2,1
2027,1110011001100001010111100000100011111011100000001010101101101100,0,1
2032,0010000001011100111000101010100111001111010010010101010100110000,2,1
2037,1100110000100110111010101010001011111101010110011010110100101100,1,1
2042,1010010001100000110100101000000001111111100000010101011100101101,1,1
2047,1101010011100110010110101000010001111011010101111111010000101101,2,1
2052,1101100011111001010001110001001011001001000000110101011000100101,2,1
2057,1110011111111101011110101110011101111101000110101110010111111111,2,1
2062,1111011000101010110100110110011111111011100111011011111111101000,1,1
2067,1100011100111101110001101011010111111011101100011101010111111010,1,1
2072,1101010100100001110100110011010001111111011101010011010110101101,0,1
2077,1010011011111000010010100001000101111111110101011011011100100101,1,1
2082,1000111110111100010100110000001110111101000100010110001000000111,1,1
2087,1101010011111101110011100111110111011111010011110111011100101101,1,1
2092,1110000111100110111110001001101101111011111111101110110101110111,0,1
2097,1000100011110000010011100010001001001001010000010101000110100101,1,1
2102,1111110111111010111110100010101011011011010111110110011101110101,1,1
2107,1111111101110011111011110111101101111001110101010100011001110101,1,1
2112,0000000101100001101001001010001011001000000011110010000010111000,2,1
2117,0100111101110001110100101010101100001001000100111100001100110101,1,1
2122,1000011000101111110100101000001010101001010001110100010000110101,2,1
2127,1101010011110100111100110110000110101000101001111110010001110001,2,1
2132,1101011111110101111110111011100101001111100111010101001110110101,1,1
2137,1110011111110000110010111001001011001111110000010010001111100101,0,1
2142,0100011010111101111000100110000111101011000111100101011100100100,1,1
2147,1011110011100101110000100011101111101111110101010011011111111101,0,1
2152,1010110001111001110010111000001001001011000001010000000100101100,1,1
2157,1101110010101011110100111100001011101011110101000011110100110101,0,1
2162,1111011010100001110001110011000100001001001001110000010011110101,0,1
2167,1111010111110010110000101011001001111011011100011110001101101111,0,1
2172,0010101011101001010100111000101110111001100100111110100000010100,0,1
2177,1000010000000101010000100000010000001100000000010000000000000100,2,1
2182,1010011001100100110011100011100001111111010101110000100000100111,0,1
2187,1100010111010010110101100100101111101001000100100100001001100010,1,1
2192,0110011000110100110000101110011101011000011111100110011101100010,0,1
2197,1110011010100011111100111011101101001001000100110100100001111100,2,1
2202,1110011011101001110111101010000010001011011111110110100100100100,1,1
2207,1110011000110011111101101011101001001111010010110110000000111101,2,1
2212,1011100111100110010100101000001100011101000100001100101000000011,0,0
2217,1000110010110100111101101001010011101111111101111100100010101101,0,0
2222,1001010111110000010001100000101111111001000000110100001010110101,0,1
2227,1000110010100110110000111110100111001011010001010100111001110001,2,1
2232,1111110000100100111101111011011001101101000101111100100000110110,0,1
2237,1101010110100111110110101010010101001110000101111110100101000001,1,1
2242,1101110010100001110101111011001011101101011000111100110011110011,1,1
2247,1111101111100101110101111111111011111011011111101111011100111111,1,1
2252,1011100111100011010101101101101111001001010100111111001101111011,0,1
2257,0110100101110001010101111010011111111001000101111001001001101111,2,1
2262,1100110011101001110111101110101011001111100110011100001101110000,1,1
2267,1100010000100000111001100001000001101000000001010000001101010000,1,1
2272,0000101111101000010000110000001011101011110111111110010000000111,1,1
2277,1000001010111000011001100000001011101001110100100110000101000100,1,1
2282,1110000101100101010011100000000001101001110100000010100100000100,0,1
2287,1011001110000001010001100010011101101011000101010101000010110000,2,1
2292,1000010111111110110111101100001111101111000100110100001111110111,0,1
2297,0100010100111101110000101010010111111011100100011101010111111110,1,1
2302,0001011110100001010100110000000000011010100101001000000010100001,0,1
2307,1000101011111000110100111000011001001001100100101110001101010001,1,1
2312,1010011110100011110010101011101111111111100100011010000101100101,1,1
2317,1000100000110110011110101110011110011001000111111100010011110001,1,1
2322,1110101010110101011001100011001001111011000101010000101100110001,0,1
2327,1100110000100101110111100110001101001011001001010000100100100101,0,1
2332,1110110001110111110000101011001011011011010101001110110100111101,1,1
2337,1000100011100100110001101000110101111101110111011110101111111111,0,1
2342,1111000011110100110111101100111011111111011100110111011101100110,1,1
2347,1100100001110001111101110011001001001011000001000001001100010101,1,1
2352,1110010011100111110100101111000111101111100100010010001101101001,1,1
